imdb_title_id	weighted_average_vote	total_votes
tt0016029	7.1	1420
tt0016039	7	4513
tt0016104	7.3	2126
tt0016123	6.2	906
tt0016142	6.4	105
tt0016185	7.1	310
tt0016201	6.2	205
tt0016205	6.7	127
tt0016220	7.6	16255
tt0016226	6	269
tt0016230	6	2111
tt0016232	7	190
tt0016240	6.8	134
tt0016241	3.7	132
tt0016258	7.1	319
tt0016276	6.6	297
tt0016288	6.4	170
tt0016294	6.8	126
tt0016308	6.6	483
tt0016309	3.8	132
tt0016310	6.7	322
tt0016332	7.9	8943
tt0016338	6.1	113
tt0016377	4.1	112
tt0016392	6.4	219
tt0016394	6.5	831
tt0016395	7.2	277
tt0016461	6.5	538
tt0016473	7.2	1613
tt0016480	6.8	288
tt0016481	7.4	1022
tt0016491	7.7	693
tt0016493	6.7	152
tt0016544	5.1	1395
tt0016545	5.8	242
tt0016548	6.9	123
tt0016559	6.8	111
tt0016560	5.4	609
tt0016563	6.6	123
tt0016627	7	1050
tt0016629	6.5	678
tt0016630	7	2820
tt0016634	7	338
tt0016640	6.5	354
tt0016643	6.3	217
tt0016646	5.9	451
tt0016654	7.1	1656
tt0016655	6.8	618
tt0016664	5.5	139
tt0016669	7.3	1427
tt0016672	5	438
tt0016690	6.2	1402
tt0016691	6.6	117
tt0016762	6.6	142
tt0016804	7	728
tt0016822	6.7	888
tt0016827	4.6	120
tt0016832	6.9	399
tt0016847	8.1	13588
tt0016854	6.4	208
tt0016871	5.8	770
tt0016884	7.6	3901
tt0016895	7.5	1401
tt0016914	6.9	632
tt0016939	6.3	270
tt0016947	6.6	213
tt0016953	6.7	675
tt0016971	6	127
tt0017004	6.4	245
tt0017028	6.9	130
tt0017029	6.7	399
tt0017048	7.4	2758
tt0017075	7.3	10024
tt0017082	6.3	200
tt0017096	6.7	430
tt0017103	6.7	545
tt0017119	6.8	309
tt0017120	6.8	315
tt0017128	7.5	2442
tt0017136	8.3	156076
tt0017159	6.8	263
tt0017184	5.7	101
tt0017195	7	109
tt0017196	6.8	682
tt0017198	5.2	227
tt0017226	6.7	185
tt0017271	7.7	919
tt0017293	7.1	127
tt0017329	6.6	150
tt0017338	6	103
tt0017350	7.7	1542
tt0017354	6.5	136
tt0017374	5.8	126
tt0017378	6.7	283
tt0017382	6.8	245
tt0017409	7	317
tt0017410	6.2	167
tt0017416	6.6	1788
tt0017419	6.2	206
tt0017423	7.3	1148
tt0017437	6.7	766
tt0017438	6.9	573
tt0017448	7.1	1945
tt0017449	6.9	1066
tt0017463	7.5	1010
tt0017480	6.9	691
tt0017483	6.1	604
tt0017519	6.6	122
tt0017534	6.4	1722
tt0017540	6.8	347
tt0017567	7	690
tt0017619	7.5	339
tt0017621	6.2	285
tt0017632	5.9	355
tt0017653	7.1	196
tt0017662	7	186
tt0017667	6.9	701
tt0017726	6.4	106
tt0017735	6.8	228
tt0017736	6.8	171
tt0017739	7.1	2654
tt0017750	7.1	374
tt0017751	6.6	213
tt0017765	7.1	4268
tt0017809	7.2	599
tt0017825	6.1	2082
tt0017832	4.8	206
tt0017843	5.7	2465
